Sample ID,MS1_CE(16:1),MS1_CE(18:1),MS1_CE(18:2),MS1_CE(20:4),MS1_CE(20:5),MS1_CE(22:6),MS1_Cer(d18:1/16:0),MS1_Cer(d18:1/18:0),MS1_Cer(d18:1/24:0),MS1_Cer(d18:1/24:1),MS1_Cholesterol,MS1_Cholesteryl hexoside,MS1_Coenzyme Q10,MS1_DG(16:0_18:1),MS1_DG(16:0_20:4),MS1_DG(18:0_18:1),MS1_DG(18:0_20:4),MS1_DG(18:0_22:6),MS1_DG(18:1/18:1),MS1_DG(18:1_20:4),MS1_GB3(d18:1/16:0),MS1_GB3(d18:1/18:0),MS1_GB3(d18:1/24:0),MS1_GB3(d18:1/24:1),MS1_HexCer(d18:1/16:0),MS1_HexCer(d18:1/18:0),MS1_HexCer(d18:1/22:0),MS1_HexCer(d18:1/24:0),MS1_HexCer(d18:1/24:1),MS1_LPC(16:0),MS1_LPC(16:1),MS1_LPC(18:0),MS1_LPC(18:1),MS1_LPC(20:4),MS1_LPC(22:6),MS1_LPC(24:0),MS1_LPC(24:1),MS1_LPC(26:0),MS1_LPC(26:1),MS1_LacCer(d18:1/16:0),MS1_LacCer(d18:1/18:0),MS1_LacCer(d18:1/24:0),MS1_LacCer(d18:1/24:1),MS1_MG(16:0),MS1_MG(18:0),MS1_MG(18:1),MS1_N-Oleoylethanolamine,MS1_PC(16:0/5:0(CHO)),MS1_PC(16:0/9:0(CHO)),MS1_PC(16:0/9:0(COOH)),MS1_PC(34:1),MS1_PC(36:1),MS1_PC(36:2),MS1_PC(36:4),MS1_PC(38:4),MS1_PC(38:6),MS1_PC(40:5),MS1_PC(40:6),MS1_PC(O-16:0/0:0),MS1_PC(O-16:0/2:0),MS1_PC(O-18:0/2:0),MS1_PE(34:1),MS1_PE(36:1),MS1_PE(36:2),MS1_PE(36:4),MS1_PE(38:4),MS1_PE(38:5),MS1_PE(38:6),MS1_PE(40:4),MS1_PE(40:6),MS1_PE(40:7),MS1_Palmitoylethanolamine,MS1_SM(d18:1/16:0),MS1_SM(d18:1/18:0),MS1_SM(d18:1/24:0),MS1_SM(d18:1/24:1),MS1_Sphinganine 1-phosphate,MS1_Sphingosine,MS1_Sphingosine 1-phosphate,MS1_TG(18:0_36:2),MS1_TG(18:1_34:2),MS1_TG(18:1_34:3),MS1_TG(20:4_32:1),MS1_TG(20:4_34:2),MS1_TG(20:4_34:3),MS1_TG(20:4_36:0),MS1_TG(20:4_36:2),MS1_TG(20:4_36:3),MS1_TG(22:6_36:2),MS1_TG(22:6_38:1),MS1_TG(22:6_38:2),MS2_1-Methylhistidine,MS2_1-Methylnicotinamide,"MS2_3-Hydroxy-N6,N6,N6-Trimethyllysine",MS2_4-Hydroxyproline,MS2_4-Trimethylammoniobutanal,MS2_5''-Methylthioadenosine,MS2_5-Hydroxyindoleacetic acid,MS2_5-Hydroxytryptophan,MS2_8-Hydroxyguanosine,MS2_9-Hexadecenoylcarnitine,MS2_Acetylcarnitine,MS2_Adenine,MS2_Adenosine,MS2_Alanine,MS2_Arabitol,MS2_Arginine,MS2_Asparagine,MS2_Asymmetric dimethylarginine,MS2_Betaine,MS2_Butyrobetaine,MS2_Butyrylcarnitine,MS2_Carnitine,MS2_Choline,MS2_Citrulline,MS2_Creatine,MS2_Creatinine,MS2_Cysteinylglycine,MS2_Cystine,MS2_Deoxyadenosine,MS2_Dimethylethanolamine,MS2_Dopa,MS2_Dopamine,MS2_Epinephrine,MS2_Ergothioneine,MS2_Ethanolamine,MS2_Glucose,MS2_Glutamic acid,MS2_Glutamine,MS2_Glutathione,MS2_Glycerophosphocholine,MS2_Glycine,MS2_Guanine,MS2_Hexanoylcarnitine,MS2_Histamine,MS2_Histidine,MS2_Homocysteine,MS2_Homoserine,MS2_Hydroxybutyrylcarnitine,MS2_Hydroxyhexanoylcarnitine,MS2_Hydroxyisovaleroyl carnitine,MS2_Hypoxanthine,MS2_Imidazoleacetic acid,MS2_Inosine,MS2_Isovalerylcarnitine,MS2_Kynurenic acid,MS2_Kynurenine,MS2_Leucine,MS2_Linoleyl carnitine,MS2_Lysine,MS2_Mannose,MS2_Melatonin,MS2_Methionine,MS2_Methionine S-oxide,MS2_Myristoylcarnitine,MS2_N-Acetylaspartic acid,MS2_N-Acetylputrescine,MS2_N-Acetylserine,MS2_N1-Acetylspermidine,MS2_N1-N12-Diacetylspermine,MS2_N1-N8-Diacetylspermidine,"MS2_N6,N6,N6-Trimethyllysine",MS2_Niacinamide,MS2_Nicotinamide riboside,MS2_Nicotinic acid,MS2_Octanoylcarnitine,MS2_Ornithine,MS2_Palmitoylcarnitine,MS2_Phenylalanine,MS2_Proline,MS2_Propionylcarnitine,MS2_Pyridoxamine,MS2_Pyroglutamic acid,MS2_S-Adenosylhomocysteine,MS2_S-Adenosylmethionine,MS2_Sarcosine,MS2_Serine,MS2_Stearoylcarnitine,MS2_Sucrose,MS2_Taurine,MS2_Thiamine,MS2_Threonine,MS2_Trimethylamine-N-oxide,MS2_Tryptophan,MS2_Tyrosine,MS2_Ureidopropionic acid,MS2_Uric acid,MS2_Uridine,MS2_Valerobetaine,MS2_Valine,MS2_Xanthine,MS2_Xanthosine,MS2_cADPRibose,MS2_gamma-Aminobutyric acid
HSA-000028160,0.017,0.171,0.109,0.25,0.036,0.067,1.37,0.346,1.851,2.725,0.936,0.002,0.002,0.271,0.03,0.271,0.057,0.927,0.086,0.017,0.013,0.009,0.011,0.023,0.668,0.25,1.261,1.849,2.151,0.382,0.014,0.746,0.181,0.037,0.008,0.003,0.002,0,0,0.06,0.006,0.011,0.012,141.485,521.378,17.66,7.36E-05,0.005,0.013,0.001,1.941,0.399,0.687,2.431,0.943,0.152,0.141,0.109,0.001,0.033,0.01,1.269,3.66,1.184,0.624,7.245,0.829,0.698,1.287,1.172,0.54,,2.885,0.435,0.561,1.771,0.002,0.345,0.002,0.02,0.046,0.007,0.007,0.006,0.002,0.003,0.011,0.008,0.002,0,0,0.002,0.069,0.001,0.011,0.001,0.14,0.001,0.002,0.009,0.011,0.02,0.511,0.016,0.041,0.572,0.086,0.514,3.588,0.633,0.021,0.01,0.018,0.069,0.006,0.314,0.029,0.021,0.001,0.034,0.009,0.002,0.02,0.007,0.008,0.004,0.039,3.047,6.028,1.894,32.139,0.072,0.004,0.001,,0.075,0.991,4.442,0.008,0.004,0.016,0.029,0.06,0,0.06,0.004,0.001,0.117,0.003,0.008,0.019,0.001,0.031,1.244,0,2.461,0,0,0.377,0.065,0.059,0.004,0.018,0.005,0,0,0.012,0.026,0.397,0.225,0.102,0.801,0.446,0.005,0.049,0.032,1.836,0,0.048,2.082,0.194,1.917,0.013,0.028,0.004,0,0.099,0.002,0.01,0.001,0.003,0.011,0.002,9.03E-05
HSA-000028161,0.032,0.378,0.245,2.314,0.788,0.741,3.031,4.255,4.971,17.844,5.174,0.007,0.002,1.747,0.845,2.35,3.932,0.011,1.518,0.66,0.016,0.005,0.015,0.03,0.866,5.244,6.769,10.579,26.864,0.903,0.014,1.798,0.374,0.031,0.009,0.025,0.016,0.002,0.002,0.102,0.036,0.028,0.037,173.155,700.763,25.576,0,0.003,0.019,0.002,3.982,3.133,1.996,3.119,1.297,0.346,0.234,0.296,0.002,0.032,0.024,7.061,16.955,14.112,1.894,11.941,4.799,2.254,2.516,4.281,1.472,0,3.264,1.43,1.114,3.53,0.021,4.666,0.025,0.089,0.108,0.011,0.011,0.01,0.002,0.012,0.036,0.017,0.009,0.001,0.002,0.002,0.14,0.002,0.011,0.001,0.208,0,0.002,0.011,0.017,0.027,0.203,0.021,0.043,0.583,0.108,0.545,3.521,0.611,0.02,0.012,0.018,0.081,0.005,0.343,0.041,0.023,0.001,0.033,0.013,0.002,0.026,0.008,0.01,0.007,0.044,2.882,6.298,2.454,41.743,0.065,0.005,0.001,,0.073,1.628,4.961,0.01,0.004,0.018,0.033,0.033,0.001,0.073,0.013,0.001,0.126,0.003,0.01,0.02,0.001,0.032,1.326,0.001,3.64,,0.001,1.357,0.209,0.112,0.005,0.018,0.001,0,0,0.014,0.104,0.471,0.239,0.122,0.441,0.461,0.013,0.071,0.034,1.881,0.001,0.472,1.316,0.215,2.145,0.012,0.025,0.005,0.001,0.072,0.001,0.013,0.001,0.004,0.015,0.002,0
HSA-000028163,0.013,0.184,0.134,0.338,0.074,0.144,3.922,0.738,4.508,6.361,2.167,0.004,0.004,0.775,0.09,0.355,0.177,0.371,0.776,0.116,0.019,0.009,0.011,0.032,2.089,0.625,1.703,2.113,3.596,0.108,0.012,0.193,0.094,0.02,0.008,0.003,0.002,0,0,0.172,0.018,0.046,0.067,215.373,821.325,27.588,9.39E-05,0.001,0.016,0.001,4.264,1.26,3.701,1.813,0.632,0.429,0.204,0.239,0.001,0.016,0.003,8.01,15.549,13.569,1.187,15.614,3.399,1.778,4.179,5.508,3.692,,6.989,1.829,2.182,6.483,0.005,0.657,0.005,0.239,1.231,0.263,0.107,0.099,0.022,0.018,0.191,0.074,0.089,0.002,0.008,0.004,0.074,0.002,0.016,0.001,0.303,0.001,0.002,0.012,0.022,0.038,0.36,0.086,0.1,0.597,0.115,1.374,6.88,1.036,0.057,0.018,0.085,0.168,0.009,0.925,0.056,0.023,0.001,0.034,0.019,,0.02,0.015,0.041,0.004,0.046,19.897,13.466,9.882,147.062,0.187,0.011,0.002,,0.136,0.781,10.754,0.016,0.009,0.031,0.065,0.066,0.002,0.058,0.001,0.007,0.271,0.002,0.014,0.019,0.001,0.07,1.401,0,6.467,0,0.003,0.99,0.361,0.067,0.01,0.027,0.008,0,0,0.018,0.016,0.806,0.425,0.224,1.186,0.874,0.035,0.126,0.086,2.956,7.46E-05,0.033,2.54,0.392,5.47,0.015,0.043,0.01,0.009,0.111,0.001,0.028,0.004,0.004,0.011,0.008,0.001
HSA-000028164,0.254,5.063,1.567,8.133,4.886,14.2,6.247,7.121,11.403,29.586,4.327,0.028,0.005,0.992,0.186,0.539,0.773,1.159,1.063,0.195,0.024,0.009,0.022,0.063,2.492,6.438,9.63,17.015,33.455,0.226,0.014,0.482,0.185,0.034,0.013,0.068,0.049,0.003,0.004,0.277,0.073,0.096,0.175,223.38,788.408,27.9,0,0.001,0.019,0.005,4.662,3.316,4.737,2.292,0.809,0.592,0.259,0.379,0.001,0.034,0.008,9.67,26.15,17.823,1.648,19.306,4.68,1.918,4.926,6.432,3.443,5.35E-05,7.081,2.741,3.52,8.203,0.093,23.46,0.063,0.863,1.775,0.294,0.096,0.094,0.013,0.075,0.329,0.069,0.308,0.02,0.044,0.007,0.084,0.003,0.012,0.001,0.367,0.001,0.003,0.015,0.028,0.048,0.343,0.07,0.097,0.377,0.134,1.378,7.789,1.071,0.05,0.022,0.088,0.161,0.028,1.189,0.071,0.019,,0.024,0.02,,0.012,0.018,0.046,0.013,0.042,16.27,15.554,15.247,141.874,0.209,0.004,0.002,,,0.522,13.283,0.02,0.01,0.031,0.036,0.095,0.001,0.061,0,0.006,0.301,0.002,,0.02,0.002,0.075,2.074,0.001,7.31,0,0.003,1.132,0.377,0.094,0.014,0.026,0.009,0,0.001,,0.056,0.906,0.465,0.259,1.48,0.986,0.089,,0.081,3.999,0.001,0.46,2.868,0.349,6.322,0.016,0.048,0.016,0.008,0.067,0.002,0.034,0.007,0.005,0.008,,0.001
HSA-000028166,0.02,0.187,0.172,0.501,0.189,0.227,6.542,2.477,19.527,13.412,4.499,0.007,0.013,1.129,0.27,0.426,0.384,0.107,0.693,0.201,0.072,0.018,0.073,0.104,2.477,1.144,6.251,9.405,9.188,0.303,0.02,0.537,0.15,0.068,0.012,0.018,0.008,0.001,0.001,0.058,0.014,0.067,0.049,126.046,518.993,18.481,0,0.007,0.025,0.002,4.937,2.16,3.68,4.091,2.409,1.173,0.578,0.605,0.001,0.037,0.008,10.418,23.633,11.133,3.797,32.853,5.911,4.996,9.725,10.994,4.261,5.09E-05,7.583,2.967,5.402,9.732,0.007,1.426,0.008,0.244,0.682,0.156,0.105,0.087,0.031,0.035,0.143,0.089,0.049,0.001,0.004,0.006,0.4,0.005,0.026,0.002,0.531,0.001,0.005,0.008,0.033,0.081,0.692,0.11,0.137,0.556,0.166,1.383,7.02,1.33,0.135,0.054,0.171,0.27,0.017,1.002,0.054,0.022,0,0.025,0.01,0.004,0.009,0.024,0.089,0.019,0.032,25.488,15.708,19.291,299.602,0.25,0.005,0.004,4.939,0.177,0.728,13.766,0.041,0.027,0.16,0.148,0.074,0.002,0.492,0,0.002,0.387,0.003,0.024,0.019,0.002,0.113,2.179,0.001,16.016,0,0.003,5.644,0.492,0.204,0.013,0.046,0.009,0,0.001,0.032,0.069,1.255,0.664,0.666,1.362,1.163,0.081,0.269,0.113,3.821,0,0.014,2.605,0.743,7.846,0.017,0.068,0.017,0.014,0.076,0.005,0.079,0.006,0.003,0.005,0.018,0.001
HSA-000028167,0.069,1.195,0.596,6.37,7.195,7.979,9.428,7.198,25.94,34.589,6.063,0.024,0.015,1.53,0.38,0.895,1.289,0.161,1.191,0.295,0.08,0.017,0.084,0.124,3.089,5.692,12.715,21.214,33.602,0.471,0.018,0.865,0.239,0.064,0.015,0.088,0.051,0.004,0.005,0.09,0.052,0.113,0.119,143.373,528.278,17.241,0,0.003,0.014,0.002,5.47,3.862,4.617,4.244,2.472,1.232,0.662,0.728,0.001,0.036,0.011,11.591,31.855,16.313,4.002,33.799,7.249,4.362,9.32,10.712,3.864,0,7.572,3.148,5.583,9.922,0.089,18.171,0.068,0.644,1.194,0.208,0.142,0.127,0.027,0.099,0.338,0.141,0.177,0.011,0.025,0.006,0.421,0.006,0.029,0.002,0.54,0.001,0.004,0.008,0.033,0.093,0.754,0.137,0.139,0.508,0.165,1.495,7.14,1.265,0.112,0.059,0.163,0.254,0.02,1.075,0.052,0.023,0,0.016,0.011,0.005,0.008,0.024,0.093,0.034,0.025,21.241,15.058,19.509,330.387,0.242,0.004,0.004,5.087,0.184,0.513,14.887,0.044,0.024,0.153,0.113,0.1,0.002,0.469,0,0.003,0.404,0.003,0.023,0.014,0.003,0.111,2.458,0.001,17.537,0,0.003,7.645,1.435,0.241,0.013,0.046,0.011,0.001,0,0.026,0.105,1.28,0.594,0.679,1.482,0.873,0.072,0.27,0.11,4.046,0.001,0.21,3.688,0.571,8.689,0.017,0.077,0.018,0.009,0.063,0.006,0.081,0.008,0.004,0.005,0.017,0.001
HSA-000028169,0.015,0.184,0.146,0.484,0.14,0.142,4.139,1.434,6.672,6.629,1.916,0.005,0.006,0.524,0.177,0.292,0.203,0.124,0.256,0.092,0.026,0.011,0.039,0.071,1.715,0.776,4.32,6.077,5.644,0.362,0.011,0.636,0.147,0.055,0.006,0.009,0.004,0,0,0.084,0.011,0.047,0.034,144.399,593.572,20.612,8.19E-05,0.008,0.02,0.002,3.464,1.204,1.792,3.435,1.807,0.326,0.334,0.229,0.001,0.049,0.009,3.244,10.107,3.217,1.531,16.978,2.147,1.389,3.919,3.239,1.071,3.15E-05,4.078,1.168,1.621,3.556,0.004,1.229,0.006,0.147,0.201,0.031,0.03,0.027,0.007,0.021,0.064,0.04,0.011,0.001,0.001,0.003,0.282,0.005,0.015,0.001,0.287,0,,0.006,0.017,0.041,0.547,0.052,0.061,0.532,0.099,0.64,5.111,0.942,0.05,0.024,0.049,0.135,0.007,0.481,0.03,0.024,0,0.031,0.008,0.005,0.012,0.01,0.019,0.01,0.035,6.446,7.603,4.812,138.055,0.103,0.005,0.002,,0.089,0.512,6.309,0.02,0.009,0.046,0.08,0.097,0.001,0.169,0,0.002,0.16,0.004,0.01,0.017,0.001,0.044,1.433,0,6.423,0,0.001,2.689,0.403,0.228,0.005,0.022,0.005,0,0.001,0.013,0.06,0.566,0.283,0.323,1.024,0.58,0.014,0.114,0.045,2.258,0,0.041,3.842,0.304,3.171,0.013,0.041,0.006,0.003,0.087,0.004,0.024,0.003,0.003,0.007,0.004,0
HSA-000028170,0.155,2.665,1.274,14.2,10.502,10.452,8.038,6.545,16.179,31.62,4.541,0.026,0.006,1.385,0.469,1.297,1.959,1.096,1.084,0.33,0.032,0.013,0.065,0.088,2.109,5.738,11.072,18.218,32.149,0.681,0.012,1.299,0.267,0.064,0.009,0.067,0.043,0.003,0.003,0.163,0.061,0.095,0.11,284.339,1088.906,37.914,0,0.003,0.012,0.001,4.309,3.212,2.673,3.622,1.955,0.472,0.424,0.352,0.001,0.038,0.018,6.006,19.468,10.691,2.032,18.826,4.276,1.733,3.797,4.592,1.293,0,4.319,1.752,2.336,4.97,0.1,18.193,0.097,0.428,0.49,0.049,0.039,0.035,0.005,0.051,0.146,0.051,0.048,0.007,0.011,0.004,0.31,0.005,0.015,0.001,0.304,0.001,0.003,0.008,0.026,0.05,0.702,0.092,0.061,0.512,0.119,0.68,4.653,0.976,0.052,0.025,0.048,0.135,0.009,0.552,0.03,0.023,0.001,0.032,0.009,0.003,0.01,0.011,0.02,0.031,0.033,5.688,8.071,5.836,129.308,0.119,0.005,0.002,,0.099,0.469,6.325,0.024,0.008,0.049,0.097,0.094,0.001,0.158,0,0.002,0.176,0.005,0.015,0.014,0.001,0.047,1.373,0.001,8.079,0,0.001,4.749,0.784,0.231,0.007,0.024,0.008,0,0.001,0.018,0.127,0.593,0.31,0.334,1.102,0.635,0.034,0.117,0.055,2.249,0.001,0.316,4.139,0.29,2.973,0.013,0.044,0.007,0.003,0.059,0.004,0.026,0.004,0.003,0.006,0.006,0
HSA-000028172,0.016,0.173,0.118,0.293,0.08,0.095,3.612,1.275,6.032,7.245,2.16,0.004,0.007,0.53,0.139,0.355,0.191,0.151,0.238,0.078,0.022,0.011,0.025,0.043,1.703,0.775,3.851,5.317,5.998,0.347,0.011,0.699,0.154,0.046,0.007,0.009,0.005,0.001,0,0.075,0.011,0.039,0.034,177.771,696.611,22.149,0,0.006,0.011,0.001,3.509,1.133,1.822,3.659,2.021,0.411,0.371,0.298,0.001,0.029,0.009,3.574,10.132,3.83,1.775,18.532,2.626,2.083,3.852,4.272,1.425,6.13E-05,4.582,1.366,1.822,4.567,0.004,0.675,0.009,0.081,0.138,0.023,0.02,0.018,0.006,0.013,0.035,0.022,0.008,0,0.001,0.003,0.211,0.004,0.014,0.001,0.295,0.001,0.002,0.007,0.02,0.04,0.444,0.044,0.06,0.485,0.094,0.723,4.218,1.062,0.065,0.027,0.054,0.142,0.013,0.594,0.031,0.02,0,0.031,0.01,0.006,0.009,0.01,0.037,0.011,0.025,7.344,7.939,6.141,118.981,0.117,0.005,0.002,,0.099,0.358,6.297,0.019,0.011,0.06,0.101,0.146,0.001,0.228,0,0.003,0.165,0.004,0.011,0.012,0.001,0.048,1.31,0,7.052,0,0.001,2.75,0.391,0.218,0.005,0.022,0.008,0,0,0.021,0.051,0.571,0.278,0.402,0.927,0.456,0.026,0.129,0.051,2.513,0,0.027,5.754,0.308,3.071,0.012,0.045,0.008,0.002,0.112,0.003,0.028,0.005,0.003,0.006,0.006,0
HSA-000028173,0.038,0.563,0.349,3.576,2.714,2.477,6.056,5.736,12.317,28.025,5.08,0.014,0.007,1.461,0.598,1.575,2.529,0.096,1.191,0.434,0.032,0.012,0.039,0.066,2.146,5.729,10.235,15.956,30.862,0.705,0.012,1.491,0.28,0.047,0.009,0.048,0.028,0.002,0.003,0.112,0.053,0.075,0.087,167.345,691.278,23.48,0.001,0.003,0.013,0.002,4.502,3.325,2.948,3.814,2.15,0.652,0.498,0.467,0.001,0.029,0.018,8.041,22.307,15.063,3.026,22.571,5.686,2.734,4.773,6.241,2.026,0,4.876,2.097,2.628,5.928,0.056,10.658,0.049,0.251,0.304,0.039,0.031,0.03,0.006,0.033,0.106,0.045,0.041,0.005,0.008,0.004,0.265,0.004,0.014,6.94E-05,0.423,0,0.002,0.009,0.025,0.05,0.418,0.069,0.066,0.418,0.109,0.784,4.846,1.07,0.054,0.03,0.056,0.122,0.012,0.544,0.035,0.024,0,0.026,0.01,0.006,0.009,0.011,0.027,0.02,0.023,6.483,9.401,9.401,133.547,0.128,0.004,0.002,,0.102,0.675,7.121,0.023,0.011,0.062,0.073,0.073,0.001,0.24,0,0.003,0.185,0.004,0.011,0.012,0.002,0.047,1.2,0.001,8.247,0,0.001,3.442,0.544,0.216,0.005,0.028,0.011,0,0.001,0.023,0.111,0.621,0.297,0.407,1.008,0.547,0.029,0.16,0.054,2.334,0.001,0.308,2.975,0.309,3.617,0.011,0.046,0.008,0.003,0.064,0.002,0.03,0.003,0.003,0.006,0.007,0
HSA-000028175,0.016,0.206,0.166,0.542,0.187,0.256,4.119,0.871,5.045,6.844,1.772,0.004,0.005,1.107,0.228,0.336,0.24,0.232,1.134,0.27,0.019,0.004,0.014,0.037,2.244,0.649,1.728,2.495,4.11,0.115,0.007,0.228,0.067,0.017,0.005,0.004,0.002,0,0.001,0.175,0.018,0.051,0.069,142.87,484.19,23.039,0,0.003,0.024,0.002,4.084,1.28,3.232,2.28,0.773,0.474,0.223,0.259,0.001,0.032,0.004,6.672,15.178,10.443,1.321,17.209,3.295,1.638,4.544,5.015,3.047,3.04E-05,6.391,1.743,2.198,5.955,0.006,0.744,0.005,0.309,1.074,0.238,0.166,0.177,0.036,0.03,0.339,0.156,0.13,0.003,0.011,0.004,0.159,0.002,0.016,0.004,0.362,0.001,0.003,0.007,0.038,0.054,0.914,0.176,0.111,0.812,0.359,1.259,7.318,1.184,0.078,0.021,0.057,0.171,0.01,0.912,0.063,0.022,0.001,0.082,0.031,0.001,0.031,0.015,0.032,0.007,0.033,16.337,11.258,3.893,64.945,0.176,0.013,0.002,,0.121,1.917,10.032,0.023,0.008,0.037,0.014,0.023,0.005,0.066,0.001,0.003,0.293,0.003,0.017,0.016,0.002,0.081,1.699,0,8.238,0,0.003,2.776,0.785,0.16,0.009,0.033,0.005,0,0.001,0.023,0.043,0.826,0.368,0.22,0.917,0.853,0.026,0.123,0.091,3.734,0,0.025,1.077,0.293,5.105,0.011,0.027,0.01,0.007,0.069,0.004,0.032,0.002,0.005,0.017,0.009,0.001
